reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,geotracker_meta
-78.82314,42.949969,0,0,0,170.55,2020/10/22 15:49:39+00,,,,,,,,,,,,,,,,,,,,,,
-78.82324,42.94991,0,0,1,168.45,2020/10/22 15:50:05+00,,,,,,,,,,,,,,,,,,,,,,
-78.823302,42.949829,0,0,2,170.82,2020/10/22 15:50:12+00,,,,,,,,,,,,,,,,,,,,,,
-78.823393,42.949761,0,0,3,170.98,2020/10/22 15:50:20+00,,,,,,,,,,,,,,,,,,,,,,
-78.823467,42.949684,0,0,4,168.61,2020/10/22 15:50:29+00,,,,,,,,,,,,,,,,,,,,,,
-78.823602,42.949681,0,0,5,169.09,2020/10/22 15:50:37+00,,,,,,,,,,,,,,,,,,,,,,
-78.823727,42.9497,0,0,6,171.45,2020/10/22 15:50:45+00,,,,,,,,,,,,,,,,,,,,,,
-78.823848,42.949739,0,0,7,171.33,2020/10/22 15:50:53+00,,,,,,,,,,,,,,,,,,,,,,
-78.823978,42.949751,0,0,8,168.95,2020/10/22 15:51:02+00,,,,,,,,,,,,,,,,,,,,,,
-78.824093,42.949787,0,0,9,165.72,2020/10/22 15:51:09+00,,,,,,,,,,,,,,,,,,,,,,
-78.824207,42.949826,0,0,10,166.07,2020/10/22 15:51:16+00,,,,,,,,,,,,,,,,,,,,,,
-78.824346,42.949837,0,0,11,165.33,2020/10/22 15:51:25+00,,,,,,,,,,,,,,,,,,,,,,
-78.824467,42.949866,0,0,12,165.63,2020/10/22 15:51:32+00,,,,,,,,,,,,,,,,,,,,,,
-78.824595,42.94989,0,0,13,166.29,2020/10/22 15:51:38+00,,,,,,,,,,,,,,,,,,,,,,
-78.824722,42.949911,0,0,14,169.31,2020/10/22 15:51:45+00,,,,,,,,,,,,,,,,,,,,,,
-78.82485,42.949944,0,0,15,169.41,2020/10/22 15:51:53+00,,,,,,,,,,,,,,,,,,,,,,
-78.82486,42.950035,0,0,16,168.96,2020/10/22 15:52:00+00,,,,,,,,,,,,,,,,,,,,,,
-78.824975,42.950002,0,0,17,170.25,2020/10/22 15:52:09+00,,,,,,,,,,,,,,,,,,,,,,
-78.825101,42.950009,0,0,18,169.34,2020/10/22 15:52:19+00,,,,,,,,,,,,,,,,,,,,,,
-78.825201,42.950071,0,0,19,167.52,2020/10/22 15:52:26+00,,,,,,,,,,,,,,,,,,,,,,
-78.825317,42.950132,0,0,20,169.62,2020/10/22 15:52:33+00,,,,,,,,,,,,,,,,,,,,,,
-78.825423,42.950183,0,0,21,169.94,2020/10/22 15:52:40+00,,,,,,,,,,,,,,,,,,,,,,
-78.825533,42.950226,0,0,22,167.03,2020/10/22 15:52:47+00,,,,,,,,,,,,,,,,,,,,,,
-78.825645,42.95029,0,0,23,167.14,2020/10/22 15:52:55+00,,,,,,,,,,,,,,,,,,,,,,
-78.825761,42.950333,0,0,24,166.52,2020/10/22 15:53:02+00,,,,,,,,,,,,,,,,,,,,,,
-78.825872,42.950384,0,0,25,166.42,2020/10/22 15:53:09+00,,,,,,,,,,,,,,,,,,,,,,
-78.825979,42.950449,0,0,26,168.93,2020/10/22 15:53:16+00,,,,,,,,,,,,,,,,,,,,,,
-78.826074,42.950509,0,0,27,167.94,2020/10/22 15:53:23+00,,,,,,,,,,,,,,,,,,,,,,
-78.826173,42.95057,0,0,28,167.43,2020/10/22 15:53:32+00,,,,,,,,,,,,,,,,,,,,,,
-78.826287,42.950625,0,0,29,167.3,2020/10/22 15:53:40+00,,,,,,,,,,,,,,,,,,,,,,
-78.82642,42.950606,0,0,30,166.25,2020/10/22 15:53:49+00,,,,,,,,,,,,,,,,,,,,,,
-78.826496,42.950516,0,0,31,166.15,2020/10/22 15:53:56+00,,,,,,,,,,,,,,,,,,,,,,
-78.826563,42.950431,0,0,32,165.68,2020/10/22 15:54:02+00,,,,,,,,,,,,,,,,,,,,,,
-78.826616,42.950341,0,0,33,166.52,2020/10/22 15:54:09+00,,,,,,,,,,,,,,,,,,,,,,
-78.826699,42.950268,0,0,34,165.69,2020/10/22 15:54:16+00,,,,,,,,,,,,,,,,,,,,,,
-78.826796,42.950213,0,0,35,166.12,2020/10/22 15:54:23+00,,,,,,,,,,,,,,,,,,,,,,
-78.826884,42.950146,0,0,36,167.4,2020/10/22 15:54:30+00,,,,,,,,,,,,,,,,,,,,,,
-78.826959,42.950059,0,0,37,167.55,2020/10/22 15:54:39+00,,,,,,,,,,,,,,,,,,,,,,
-78.827067,42.949995,0,0,38,166.88,2020/10/22 15:54:46+00,,,,,,,,,,,,,,,,,,,,,,
-78.827149,42.949925,0,0,39,167.58,2020/10/22 15:54:53+00,,,,,,,,,,,,,,,,,,,,,,
-78.827236,42.949846,0,0,40,167.37,2020/10/22 15:55:00+00,,,,,,,,,,,,,,,,,,,,,,
-78.827323,42.949771,0,0,41,170.61,2020/10/22 15:55:07+00,,,,,,,,,,,,,,,,,,,,,,
-78.827391,42.949694,0,0,42,171.52,2020/10/22 15:55:14+00,,,,,,,,,,,,,,,,,,,,,,
-78.827459,42.949612,0,0,43,169.1,2020/10/22 15:55:21+00,,,,,,,,,,,,,,,,,,,,,,
-78.827534,42.949538,0,0,44,167.56,2020/10/22 15:55:28+00,,,,,,,,,,,,,,,,,,,,,,
